bank_code,branch_code,branch_location
7010,452,Batticaloa Town
7010,453,Independent  Square
7010,454,Kandy Hospital
7010,455,Kotagala
7010,456,Marassana
7010,458,Meepilimana
7010,459,Menikhinna
7010,461,Palapathwela
7010,462,Botanical Gardens Peradeniya
7010,463,Haldummulla
7010,464,BOI Pallekelle
7010,465,Bokkawala
7010,466,Danture
7010,467,Daulagala
7010,469,Digana Village
7010,470,Gampola City
7010,471,Ginigathhena
7010,472,Hatharaliyadda
7010,473,Kandy City Centre
7010,474,Court Complex Kandy
7010,476,Ettampitiya
7010,477,Yatiyantota
7010,487,Adikarigama
7010,488,Agarapathana
7010,489,Akurana
7010,490,Ankumbura
7010,491,Bogawantalawa
7010,492,Padiyapelella
7010,494,Andiambalama
7010,497,Dankotuwa
7010,498,Alawwa
7010,499,Wijerama Junction
7010,500,Jaffna 2nd Branch
7010,501,Chavakachcheri
7010,502,Kaduruwela
7010,503,Passara
7010,504,Devinuwara
7010,505,Wattala
7010,506,Maskeliya
7010,507,Kahawatte
7010,508,Wennappuwa
7010,509,Hingurana
7010,510,Kalmunai
7010,511,Mulliyawalai
7010,512,Thimbirigasyaya
7010,513,Kurunegala Bazaar
7010,514,Galnewa
7010,515,Bandarawela
7010,516,Thalawathugoda
7010,517,Walasmulla
7010,518,Middeniya
7010,520,Sri Jayawardenapura Hospital
7010,521,Hyde Park
7010,522,Batapola
7010,524,Gelioya
7010,525,Baddegama
7010,526,Polgahawela
7010,527,Welisara
7010,528,Deniyaya
7010,529,Kamburupitiya
7010,530,Avissawella
7010,531,Talawakelle
7010,532,Ridigama
7010,533,Pitakotte
7010,534,Narammala
7010,535,Embilipitiya
7010,536,Kegalle Bazaar
7010,537,Ambalantota
7010,538,Tissamaharama
7010,539,Beliatta
7010,540,Badalkumbura
7010,541,Pelawatte City Kalutara
7010,542,Mahiyangana
7010,543,Kiribathgoda
7010,544,Madampe
7010,545,Minuwangoda
7010,546,Pannala
7010,547,Nikaweratiya
7010,548,Anamaduwa
7010,549,Galgamuwa
7010,550,Weligama
7010,551,Anuradhapura Bazzar
7010,552,National Institute Of Education
7010,553,Giriulla
7010,554,Bingiriya
7010,555,Melsiripura
7010,556,Matugama
7010,557,Moratumulla
7010,558,Waikkal
7010,559,Mawanella
7010,560,Buttala
7010,561,Dematagoda
7010,562,Warakapola
7010,563,Dharga Town
7010,564,Maho
7010,565,Madurankuliya
7010,566,Aranayake
7010,567,Dedicated Economic Centre-Meegoda
7010,568,Homagama
7010,569,Hiripitiya
7010,570,Hettipola
7010,571,Kirindiwela
7010,572,Negombo Bazzar
7010,573,Central Bus Stand
7010,574,Mankulam
7010,575,Gampola
7010,576,Dambulla
7010,577,Lunugala
7010,578,Yakkalamulla
7010,579,Bibile
7010,580,Dummalasuriya
7010,581,Madawala
7010,582,Rambukkana
7010,583,Mattegoda
7010,584,Wadduwa
7010,585,Ruwanwella
7010,587,Pilimatalawa
7010,588,Peradeniya
7010,589,Kalpitiya
7010,590,Akkaraipattu
7010,591,Nintavur
7010,592,Dikwella
7010,593,Milagiriya
7010,594,Rakwana
7010,595,Kolonnawa
7010,596,Talgaswela
7010,597,Nivitigala
7010,598,Nawalapitiya
7010,599,Aralaganwila
7010,600,Jayanthipura
7010,601,Hingurakgoda
7010,602,Kirulapana
7010,603,Lanka Hospital
7010,604,Ingiriya
7010,605,Kankesanthurai
7010,606,Udadumbara
7010,607,Panadura Bazaar
7010,608,Kaduwela
7010,609,Hikkaduwa
7010,610,Pitigala
7010,611,Kaluwanchikudy
7010,612,Lake View
7010,613,Akuressa
7010,614,Matara City
7010,615,Galagedera
7010,616,Kataragama
7010,617,Keselwatte
7010,618,Metropolitan
7010,619,Elpitiya
7010,620,Kesbewa
7010,621,Kebithigollawa
7010,622,Kahatagasdigiliya
7010,623,Kantale Bazaar
7010,624,Trincomalee Bazaar
7010,625,Katukurunda
7010,626,Valachchenai
7010,627,Regent Street
7010,628,Grandpass
7010,629,Koslanda
7010,630,Chenkalady
7010,631,Katubedda Campus
7010,633,Kandapola
7010,634,Dehiowita
7010,636,Lake House
7010,638,Nelliady
7010,639,Rattota
7010,640,Pallepola
7010,641,Medirigiriya
7010,642,Deraniyagala
7010,643,Gonapola
7010,644,Parliamentary Complex
7010,645,Kalawana
7010,646,Boralesgamuwa
7010,647,Lunuwatte
7010,648,Kattankudy
7010,649,Kandy 2nd
7010,650,Talatuoya
7010,651,Bombuwela
7010,652,Bakamuna
7010,653,Galkiriyagama
7010,654,Madatugama
7010,655,Tambuttegama
7010,656,Nochchiyagama
7010,657,Agalawatta
7010,658,Katunayake I.P.Z.
7010,659,Gurugoda
7010,660,Corporate
7010,662,Baduraliya
7010,663,Kotahena
7010,664,Pothuhera
7010,665,Bandaragama
7010,666,Katugastota
7010,667,Neluwa
7010,668,Borella  2nd
7010,669,Girandurukotte
7010,670,Kollupitiya 2nd
7010,671,Isurupaya
7010,672,Colombo Gold Center 
7010,673,Bulathsinhala
7010,674,Enderamulla
7010,675,Nittambuwa
7010,676,Kekirawa
7010,677,Weliweriya
7010,678,Padukka
7010,679,Battaramulla
7010,680,Aluthgama
7010,681,Personal
7010,682,Veyangoda
7010,683,Pelmadulla
7010,684,Ratnapura Bazaar
7010,685,Ward Place
7010,686,Dehiattakandiya
7010,687,Raddolugama
7010,688,Balangoda
7010,689,Ratmalana
7010,690,Pelawatta
7010,691,Hakmana
7010,692,Eppawala
7010,693,Ruhunu Campus
7010,699,Bogahakumbura
7010,700,Dambagalla
7010,701,Ella
7010,702,Ethiliwewa
7010,703,Keppetipola
7010,705,Moneragala Town
7010,706,Okkampitiya
7010,707,Pelawatta
7010,708,Batuwatte
7010,711,Bopitiya
7010,713,Asiri Central
7010,714,Katuwellegama Courtaulds Clothing Lanka (Pvt) Ltd
7010,715,Dalugama
7010,716,Delgoda
7010,717,Demanhandiya
7010,718,Fish Market Peliyagoda
7010,720,Ganemulla
7010,721,Gothatuwa
7010,722,Katana
7010,723,Mulleriyawa New Town
7010,724,Naiwala
7010,728,Meegalewa
7010,729,Badulla City
7010,730,Welimada
7010,731,Ceybank Credit card centre
7010,732,Biyagama
7010,733,Warapitiya
7010,735,Kinniya
7010,736,Piliyandala
7010,741,Hanwella
7010,743,Walapane
7010,744,Walgama
7010,746,Rajagiriya
7010,747,Taprobane
7010,748,Uragasmanhandiya
7010,749,Karainagar
7010,750,Koggala E.P.Z
7010,751,Suriyawewa
7010,752,Thihagoda
7010,753,Udugama
7010,754,Ahungalla
7010,757,Athurugiriya
7010,760,Treasury Division
7010,761,Thirunelvely
7010,762,Narahenpita
7010,763,Malabe
7010,764,Ragama
7010,765,Pugoda
7010,766,Mount Lavinia
7010,767,Ranna
